MonthDay,RecordHigh,YearHigh,RecordLow,YearLow
01-01,56.0,1998,-41.0,1887
01-02,47.0,1962,-44.0,1887
01-03,55.0,2012,-31.0,1919
01-04,55.0,2012,-41.0,1968
01-05,59.0,2012,-35.0,1884
01-06,50.0,1961,-37.0,1887
01-07,56.0,1914,-40.0,1887
01-08,63.0,2002,-42.0,1887
01-09,53.0,2012,-41.0,1977
01-10,54.0,1990,-40.0,1974
01-11,51.0,1992,-37.0,1912
01-12,52.0,2021,-42.0,1974
01-13,52.0,1901,-45.0,1916
01-14,50.0,1942,-37.0,1888
01-15,54.0,1921,-44.0,2009
01-16,54.0,1961,-35.0,1890
01-17,54.0,1926,-40.0,1967
01-18,56.0,1908,-44.0,1950
01-19,60.0,1908,-39.0,1996
01-20,53.0,1964,-37.0,1883
01-21,53.0,1942,-37.0,1954
01-22,54.0,1942,-37.0,1937
01-23,62.0,1981,-36.0,1966
01-24,54.0,1942,-34.0,1904
01-25,49.0,2002,-35.0,1904
01-26,52.0,1942,-38.0,1950
01-27,53.0,2015,-35.0,1915
01-28,49.0,2024,-39.0,1966
01-29,59.0,1931,-39.0,1966
01-30,54.0,2024,-36.0,1916
01-31,55.0,2024,-40.0,1959
02-01,60.0,1992,-43.0,1887
02-02,58.0,1931,-39.0,1917
02-03,56.0,2005,-38.0,1905
02-04,52.0,1991,-39.0,1907
02-05,56.0,1991,-39.0,1982
02-06,54.0,2016,-39.0,1936
02-07,62.0,1991,-39.0,1895
02-08,61.0,2000,-37.0,1971
02-09,56.0,1996,-43.0,1994
02-10,54.0,1918,-31.0,1899
02-11,58.0,2005,-35.0,1988
02-12,63.0,1924,-33.0,1887
02-13,56.0,1901,-31.0,2025
02-14,53.0,1901,-33.0,1936
02-15,59.0,1931,-42.0,1936
02-16,57.0,1981,-45.0,1936
02-17,59.0,1954,-35.0,2025
02-18,62.0,1954,-39.0,2025
02-19,60.0,2016,-43.0,1929
02-20,60.0,1877,-28.0,1949
02-21,60.0,2024,-29.0,1918
02-22,60.0,2002,-26.0,1910
02-23,63.0,1976,-34.0,1889
02-24,55.0,1958,-29.0,2023
02-25,68.0,1958,-28.0,1962
02-26,64.0,2024,-34.0,1890
02-27,73.0,2016,-27.0,1962
02-28,59.0,1924,-34.0,1962
02-29,69.0,1992,-17.0,1980
03-01,70.0,1992,-28.0,1962
03-02,67.0,1905,-23.0,1972
03-03,62.0,2021,-20.0,1917
03-04,69.0,2000,-33.0,1891
03-05,72.0,2000,-25.0,1919
03-06,75.0,2016,-26.0,1996
03-07,66.0,1898,-21.0,1995
03-08,64.0,2021,-28.0,1995
03-09,66.0,1988,-25.0,1951
03-10,72.0,2012,-31.0,1948
03-11,70.0,2016,-29.0,1948
03-12,75.0,2007,-25.0,1956
03-13,72.0,2016,-25.0,1951
03-14,73.0,2016,-35.0,1897
03-15,73.0,2015,-36.0,1897
03-16,81.0,2012,-11.0,1875
03-17,74.0,2012,-25.0,1875
03-18,79.0,2012,-20.0,1875
03-19,70.0,1910,-14.0,1875
03-20,73.0,1911,-17.0,1876
03-21,78.0,1910,-14.0,1965
03-22,81.0,1910,-18.0,1899
03-23,81.0,1910,-15.0,1899
03-24,79.0,1939,-11.0,1965
03-25,81.0,2007,-15.0,1893
03-26,74.0,1960,-13.0,1996
03-27,81.0,1946,-10.0,1914
03-28,78.0,1986,-7.0,1964
03-29,80.0,1967,-13.0,2023
03-30,75.0,1966,-9.0,1969
03-31,76.0,2015,-8.0,1975
04-01,79.0,2012,-12.0,1975
04-02,82.0,1921,-10.0,1975
04-03,83.0,2021,-7.0,1975
04-04,77.0,2021,4.0,1920
04-05,79.0,1991,-1.0,1996
04-06,77.0,1988,1.0,2023
04-07,85.0,1988,3.0,1936
04-08,81.0,1930,2.0,1997
04-09,87.0,1977,1.0,1997
04-10,84.0,1910,9.0,1973
04-11,84.0,1968,7.0,1957
04-12,81.0,2003,6.0,1881
04-13,92.0,2003,9.0,1950
04-14,88.0,1915,6.0,1893
04-15,88.0,1913,7.0,1880
04-16,82.0,1988,0.0,2022
04-17,85.0,1915,10.0,1953
04-18,92.0,1987,6.0,2022
04-19,86.0,1961,4.0,1928
04-20,90.0,1900,15.0,2013
04-21,93.0,1980,18.0,1936
04-22,89.0,1990,14.0,1909
04-23,84.0,2012,12.0,2013
04-24,91.0,1962,19.0,2021
04-25,90.0,1891,15.0,1907
04-26,92.0,1952,19.0,2002
04-27,92.0,1952,18.0,1994
04-28,92.0,1952,18.0,2008
04-29,89.0,1952,18.0,1958
04-30,93.0,1992,16.0,1903
05-01,90.0,1901,18.0,1911
05-02,94.0,1955,17.0,1967
05-03,92.0,1952,13.0,1907
05-04,94.0,1926,20.0,1954
05-05,97.0,1926,19.0,1944
05-06,89.0,1916,17.0,1989
05-07,93.0,1891,22.0,1943
05-08,96.0,1934,22.0,1980
05-09,90.0,1992,20.0,1966
05-10,90.0,1987,22.0,1945
05-11,96.0,2025,24.0,2020
05-12,97.0,2025,20.0,1888
05-13,91.0,2013,27.0,2004
05-14,91.0,1969,20.0,1907
05-15,92.0,1987,24.0,2014
05-16,94.0,1934,22.0,1925
05-17,92.0,1972,25.0,2002
05-18,98.0,1941,24.0,1915
05-19,96.0,1948,25.0,2015
05-20,92.0,1886,23.0,1931
05-21,96.0,1980,29.0,1963
05-22,93.0,1980,24.0,1963
05-23,96.0,1928,28.0,2002
05-24,96.0,1926,24.0,2002
05-25,96.0,1941,26.0,1924
05-26,93.0,2018,25.0,1984
05-27,101.0,1934,29.0,1907
05-28,102.0,1934,23.0,1947
05-29,97.0,1934,25.0,1947
05-30,102.0,1934,27.0,1947
05-31,92.0,1986,27.0,1964
06-01,92.0,1933,33.0,1962
06-02,98.0,2017,30.0,1969
06-03,98.0,2021,32.0,1998
06-04,106.0,2021,32.0,1998
06-05,103.0,2021,32.0,1983
06-06,100.0,1959,31.0,1888
06-07,101.0,1988,31.0,1901
06-08,96.0,1988,33.0,1915
06-09,101.0,2017,35.0,2009
06-10,101.0,1918,37.0,1908
06-11,99.0,1988,34.0,2011
06-12,96.0,1952,34.0,1973
06-13,95.0,1987,39.0,1959
06-14,98.0,1959,35.0,1969
06-15,99.0,1933,34.0,1915
06-16,102.0,1933,34.0,1983
06-17,102.0,1933,38.0,1974
06-18,106.0,1933,35.0,2004
06-19,100.0,2022,39.0,2004
06-20,103.0,1910,33.0,1969
06-21,105.0,1988,34.0,1902
06-22,96.0,1987,39.0,1885
06-23,103.0,1988,33.0,1942
06-24,105.0,1936,39.0,1892
06-25,100.0,1936,40.0,1897
06-26,98.0,1961,40.0,2017
06-27,107.0,1988,40.0,1895
06-28,104.0,2002,39.0,1895
06-29,111.0,2002,41.0,1973
06-30,107.0,1921,41.0,1891
07-01,102.0,1881,39.0,1884
07-02,107.0,1949,39.0,1945
07-03,107.0,2021,38.0,1967
07-04,102.0,2017,36.0,1967
07-05,106.0,1936,33.0,1884
07-06,114.0,1936,32.0,1884
07-07,106.0,1936,40.0,1922
07-08,106.0,1936,42.0,1971
07-09,108.0,1921,39.0,1981
07-10,110.0,1936,43.0,1951
07-11,109.0,1973,44.0,1951
07-12,105.0,2006,41.0,1975
07-13,100.0,2003,39.0,1967
07-14,104.0,1910,41.0,1967
07-15,107.0,1910,39.0,1912
07-16,110.0,1936,38.0,1976
07-17,104.0,1991,40.0,2025
07-18,106.0,1934,46.0,1982
07-19,104.0,2012,44.0,1973
07-20,108.0,1960,38.0,1898
07-21,104.0,1921,42.0,1947
07-22,105.0,2021,43.0,1896
07-23,106.0,2007,42.0,2004
07-24,105.0,1976,41.0,1891
07-25,106.0,1931,42.0,1911
07-26,106.0,1929,39.0,1971
07-27,107.0,1931,39.0,2013
07-28,107.0,1917,41.0,1976
07-29,104.0,1999,41.0,1899
07-30,112.0,2006,35.0,1971
07-31,104.0,1946,43.0,1905
08-01,105.0,1900,40.0,1968
08-02,101.0,1989,40.0,1971
08-03,104.0,1947,37.0,1978
08-04,104.0,1947,39.0,1974
08-05,109.0,1941,43.0,1992
08-06,104.0,1961,42.0,1993
08-07,105.0,1949,40.0,1904
08-08,105.0,1958,38.0,1994
08-09,107.0,1958,40.0,1967
08-10,102.0,1988,37.0,1985
08-11,104.0,2000,34.0,1977
08-12,104.0,2018,33.0,1964
08-13,100.0,1922,35.0,1964
08-14,104.0,1935,34.0,1979
08-15,105.0,2015,38.0,1989
08-16,102.0,2021,41.0,1970
08-17,106.0,2003,36.0,1888
08-18,106.0,1973,37.0,2002
08-19,103.0,1959,38.0,1895
08-20,102.0,2013,34.0,1907
08-21,105.0,1947,38.0,1920
08-22,106.0,1960,35.0,1908
08-23,102.0,2003,35.0,1911
08-24,104.0,1886,33.0,1934
08-25,103.0,1886,35.0,1964
08-26,103.0,1970,33.0,1914
08-27,107.0,1973,33.0,1982
08-28,101.0,1991,32.0,1911
08-29,104.0,1961,33.0,1988
08-30,100.0,2008,37.0,1965
08-31,101.0,1953,32.0,1895
09-01,103.0,1983,32.0,1974
09-02,102.0,1976,34.0,1974
09-03,101.0,2015,28.0,1974
09-04,100.0,1978,32.0,1962
09-05,104.0,1978,30.0,1965
09-06,103.0,1978,32.0,1956
09-07,105.0,1931,31.0,1895
09-08,105.0,1959,29.0,1895
09-09,99.0,1931,26.0,2020
09-10,100.0,1952,27.0,1943
09-11,97.0,1948,20.0,1964
09-12,96.0,2017,28.0,1964
09-13,97.0,2015,27.0,1970
09-14,95.0,1948,26.0,1949
09-15,103.0,1948,24.0,1916
09-16,95.0,1908,26.0,1973
09-17,96.0,1989,27.0,1993
09-18,97.0,1933,22.0,1901
09-19,94.0,1972,22.0,1896
09-20,97.0,1898,25.0,1982
09-21,93.0,1937,20.0,1878
09-22,95.0,1936,20.0,1995
09-23,95.0,1958,24.0,1989
09-24,95.0,1885,23.0,1926
09-25,93.0,2014,19.0,1926
09-26,96.0,2024,16.0,1942
09-27,98.0,1952,19.0,1942
09-28,98.0,2021,19.0,1951
09-29,97.0,2024,20.0,1945
09-30,95.0,1989,10.0,1876
10-01,95.0,1953,19.0,1985
10-02,93.0,1997,18.0,1999
10-03,87.0,1987,16.0,1989
10-04,95.0,1963,17.0,1988
10-05,91.0,2021,18.0,1935
10-06,91.0,1920,19.0,1991
10-07,91.0,1920,15.0,1976
10-08,89.0,1936,15.0,1990
10-09,87.0,2024,13.0,1897
10-10,91.0,1910,6.0,1919
10-11,87.0,1934,16.0,1935
10-12,88.0,1906,10.0,1917
10-13,89.0,1958,8.0,1909
10-14,86.0,1962,14.0,1876
10-15,83.0,1958,17.0,2018
10-16,87.0,1991,12.0,1976
10-17,84.0,1914,11.0,1948
10-18,83.0,1874,9.0,1989
10-19,89.0,2003,5.0,1960
10-20,82.0,1901,13.0,1916
10-21,84.0,1927,14.0,1930
10-22,81.0,1992,8.0,1936
10-23,77.0,2014,12.0,1895
10-24,80.0,1927,7.0,1887
10-25,78.0,1977,0.0,1919
10-26,81.0,1955,-10.0,1919
10-27,82.0,1944,-3.0,1919
10-28,82.0,1937,-3.0,1919
10-29,80.0,1950,-3.0,1925
10-30,84.0,1950,-10.0,1991
10-31,77.0,1999,-10.0,1991
11-01,74.0,2022,-0.0,1951
11-02,77.0,2022,-5.0,1951
11-03,76.0,2020,-4.0,1991
11-04,76.0,2020,-5.0,1951
11-05,77.0,2020,-8.0,1951
11-06,73.0,2010,-10.0,1991
11-07,79.0,1999,-15.0,1991
11-08,74.0,1999,-2.0,2003
11-09,75.0,2016,-11.0,1945
11-10,71.0,1887,-10.0,1911
11-11,70.0,2005,-13.0,1966
11-12,73.0,1999,-11.0,1911
11-13,69.0,1939,-19.0,1940
11-14,69.0,2001,-19.0,1940
11-15,73.0,1953,-10.0,2014
11-16,70.0,1905,-15.0,1955
11-17,66.0,1908,-14.0,1874
11-18,72.0,1908,-16.0,1986
