1874-10-01,67.0/41.0,22
1874-10-02,68.0/30.0,16
1874-10-03,70.0/42.0,29
1874-10-04,70.0/39.0,36
1874-10-05,65.0/38.0,29
1874-10-06,66.0/33.0,26
1874-10-07,77.0/42.0,24
1874-10-08,68.0/42.0,24
1874-10-09,68.0/39.0,22
1874-10-10,55.0/34.0,18
1874-10-11,48.0/20.0,21
1874-10-12,57.0/18.0,4
1874-10-14,69.0/37.0,24
1874-10-15,76.0/32.0,9
1874-10-16,73.0/40.0,23
1874-10-17,69.0/32.0,20
1874-10-18,83.0/40.0,6
1874-10-19,72.0/40.0,40
1874-10-20,55.0/28.0,29
1874-10-21,63.0/14.0,2
1874-10-22,72.0/32.0,20
1874-10-23,69.0/43.0,15
1874-10-24,68.0/32.0,23
1874-10-25,51.0/39.0,12
1874-10-26,39.0/25.0,28
1874-10-27,42.0/18.0,26
1874-10-28,32.0/28.0,14
1874-10-29,34.0/20.0,26
1874-10-30,23.0/14.0,11
1874-10-31,40.0/6.0,11
1874-11-01,40.0/14.0,26
1874-11-02,44.0/20.0,21
1874-11-03,49.0/22.0,18
1874-11-04,49.0/23.0,21
1874-11-05,52.0/32.0,36
1874-11-06,54.0/30.0,29
1874-11-07,34.0/28.0,25
1874-11-08,41.0/10.0,9
1874-11-09,38.0/13.0,27
1874-11-10,29.0/24.0,10
1874-11-11,27.0/4.0,12
1874-11-12,26.0/4.0,10
1874-11-13,38.0/24.0,42
1874-11-14,35.0/18.0,22
1874-11-15,31.0/22.0,24
1874-11-16,21.0/-6.0,8
1874-11-17,5.0/-14.0,9
1874-11-18,4.0/-16.0,7
1874-11-19,20.0/-13.0,6
1874-11-20,29.0/17.0,21
1874-11-21,32.0/23.0,15
1874-11-22,29.0/1.0,14
1874-11-23,2.0/-7.0,13
1874-11-24,5.0/-12.0,12
1874-11-25,13.0/4.0,10
1874-11-26,13.0/0.0,10
1874-11-27,5.0/-9.0,13
1874-11-28,8.0/-10.0,15
1874-11-29,7.0/-8.0,17
1874-11-30,30.0/7.0,18
1874-12-01,33.0/17.0,33
1874-12-02,42.0/21.0,20
1874-12-03,31.0/17.0,23
1874-12-05,39.0/23.0,34
1874-12-06,35.0/19.0,32
1874-12-07,40.0/13.0,21
1874-12-08,43.0/16.0,14
1874-12-09,11.0/-1.0,11
1874-12-10,20.0/4.0,17
1874-12-11,14.0/-8.0,16
1874-12-12,18.0/13.0,4
1874-12-13,19.0/5.0,21
1874-12-14,32.0/9.0,15
1874-12-15,30.0/13.0,24
1874-12-16,25.0/4.0,17
1874-12-17,32.0/-1.0,11
1874-12-18,40.0/21.0,39
1874-12-19,29.0/16.0,17
1874-12-20,36.0/10.0,18
1874-12-21,34.0/11.0,14
1874-12-22,32.0/13.0,28
1874-12-23,26.0/10.0,23
1874-12-24,20.0/2.0,29
1874-12-25,19.0/0.0,14
1874-12-27,21.0/0.0,19
1874-12-28,6.0/-24.0,4
1874-12-29,-7.0/-28.0,3
1874-12-30,-13.0/-29.0,3
1874-12-31,21.0/-13.0,8
1875-01-01,15.0/-11.0,8
1875-01-02,-4.0/-14.0,5
1875-01-03,-4.0/-17.0,6
1875-01-04,-12.0/-21.0,5
1875-01-05,-3.0/-28.0,5
1875-01-06,5.0/-19.0,4
1875-01-07,-5.0/-21.0,6
1875-01-08,-20.0/-34.0,1
1875-01-09,-1.0/-26.0,4
1875-01-10,-7.0/-20.0,5
1875-01-11,-14.0/-31.0,2
1875-01-12,-20.0/-30.0,2
1875-01-13,-25.0/-34.0,1
1875-01-14,-15.0/-30.0,3
1875-01-15,-12.0/-12.0,1
1875-01-16,-4.0/-22.0,8
1875-01-18,0.0/-20.0,10
1875-01-19,-2.0/-32.0,6
1875-01-22,10.0/-14.0,5
1875-01-23,5.0/-2.0,5
1875-01-24,0.0/-18.0,10
1875-01-25,6.0/-19.0,5
1875-01-26,4.0/-10.0,13
1875-01-27,13.0/-11.0,8
1875-01-28,7.0/-4.0,8
1875-01-29,16.0/-1.0,20
1875-01-30,1.0/-8.0,3
1875-01-31,38.0/-14.0,1
1875-02-01,14.0/-9.0,12
1875-02-02,-9.0/-25.0,6
1875-02-03,-19.0/-28.0,1
1875-02-04,-4.0/-31.0,3
1875-02-05,-5.0/-12.0,3
1875-02-06,-3.0/-16.0,7
1875-02-07,3.0/-15.0,9
1875-02-09,11.0/-16.0,10
1875-02-10,14.0/-12.0,6
1875-02-11,-10.0/-26.0,5
1875-02-12,1.0/-20.0,6
1875-02-13,1.0/-14.0,8
1875-02-14,-3.0/-24.0,5
1875-02-15,10.0/-23.0,4
1875-02-16,22.0/-15.0,4
1875-02-17,6.0/-30.0,1
1875-02-18,19.0/1.0,18
1875-02-19,20.0/15.0,8
1875-02-20,23.0/-5.0,10
1875-02-21,12.0/-11.0,10
1875-02-22,18.0/-8.0,10
1875-02-23,6.0/-11.0,12
1875-02-24,7.0/-15.0,10
1875-02-25,-1.0/-12.0,4
1875-02-26,3.0/-9.0,11
1875-02-27,40.0/-16.0,1
1875-02-28,11.0/-5.0,15
1875-03-01,10.0/-8.0,18
1875-03-02,18.0/-7.0,13
1875-03-03,24.0/0.0,8
1875-03-04,28.0/8.0,18
1875-03-05,22.0/4.0,24
1875-03-06,19.0/-6.0,8
1875-03-08,20.0/5.0,21
1875-03-09,30.0/3.0,16
1875-03-10,32.0/7.0,19
1875-03-11,26.0/15.0,19
1875-03-12,30.0/10.0,20
1875-03-13,24.0/10.0,20
1875-03-14,5.0/-1.0,2
1875-03-15,4.0/-6.0,8
1875-03-16,2.0/-11.0,13
1875-03-17,1.0/-25.0,1
1875-03-18,8.0/-20.0,10
1875-03-19,18.0/-14.0,4
1875-03-20,28.0/2.0,12
1875-03-21,34.0/15.0,31
1875-03-22,36.0/14.0,20
1875-03-23,30.0/9.0,22
1875-03-24,28.0/17.0,30
1875-03-25,43.0/21.0,22
1875-03-26,37.0/22.0,18
1875-03-28,51.0/27.0,23
1875-03-29,44.0/31.0,31
1875-03-30,34.0/23.0,24
1875-03-31,38.0/16.0,21
1875-04-01,47.0/16.0,8
1875-04-02,55.0/30.0,34
1875-04-03,49.0/29.0,22
1875-04-04,36.0/22.0,20
1875-04-05,24.0/8.0,30
1875-04-06,21.0/10.0,17
1875-04-07,27.0/18.0,12
1875-04-08,32.0/16.0,29
1875-04-09,26.0/13.0,24
1875-04-10,30.0/21.0,29
1875-04-11,32.0/22.0,25
1875-04-13,48.0/22.0,27
1875-04-14,58.0/32.0,28
1875-04-15,43.0/18.0,23
1875-04-16,35.0/15.0,21
1875-04-17,56.0/24.0,21
1875-04-18,67.0/29.0,13
1875-04-19,49.0/32.0,24
1875-04-20,53.0/28.0,26
1875-04-21,51.0/37.0,11
1875-04-23,42.0/32.0,29
1875-04-26,63.0/31.0,18
1875-04-27,57.0/39.0,26
1875-04-28,51.0/30.0,29
1875-04-29,39.0/22.0,30
1875-04-30,42.0/23.0,33
1875-05-01,44.0/21.0,27
1875-05-02,49.0/27.0,29
1875-05-03,57.0/29.0,21
1875-05-04,66.0/35.0,18
1875-05-05,64.0/38.0,32
1875-05-06,69.0/46.0,38
1875-05-07,61.0/48.0,13
1875-05-08,63.0/38.0,26
1875-05-09,60.0/41.0,28
1875-05-10,62.0/37.0,20
1875-05-11,61.0/39.0,16
1875-05-12,67.0/34.0,17
1875-05-14,67.0/38.0,28
1875-05-15,72.0/44.0,26
1875-05-16,69.0/51.0,28
1875-05-17,68.0/34.0,34
1875-05-18,74.0/53.0,34
1875-05-19,83.0/48.0,29
1875-05-20,74.0/47.0,37
1875-05-21,82.0/49.0,30
1875-05-22,88.0/53.0,22
1875-05-23,75.0/54.0,30
1875-05-24,72.0/52.0,38
1875-05-25,85.0/46.0,18
1875-05-26,67.0/55.0,13
1875-05-27,60.0/46.0,11
1875-05-28,60.0/38.0,18
1875-05-29,77.0/38.0,17
1875-05-30,64.0/49.0,22
1875-05-31,66.0/48.0,32
1875-06-01,59.0/44.0,21
1875-06-02,59.0/42.0,22
1875-06-03,59.0/32.0,30
1875-06-04,57.0/37.0,23
1875-06-05,59.0/40.0,20
1875-06-06,67.0/39.0,18
1875-06-07,72.0/41.0,31
1875-06-08,76.0/50.0,43
1875-06-09,79.0/44.0,24
1875-06-10,74.0/48.0,50
1875-06-11,60.0/40.0,30
1875-06-12,71.0/39.0,27
1875-06-13,83.0/54.0,42
1875-06-14,64.0/54.0,12
1875-06-15,84.0/51.0,29
1875-06-16,84.0/56.0,50
1875-06-17,75.0/60.0,25
1875-06-18,68.0/56.0,17
1875-06-19,66.0/54.0,12
1875-06-20,78.0/57.0,50
1875-06-21,78.0/58.0,28
1875-06-22,68.0/52.0,27
1875-06-23,73.0/53.0,29
1875-06-24,89.0/50.0,14
1875-06-25,75.0/53.0,40
1875-06-26,59.0/49.0,12
1875-06-27,75.0/47.0,45
1875-06-28,83.0/51.0,44
1875-06-29,74.0/46.0,20
1875-06-30,77.0/47.0,24
1875-07-02,84.0/62.0,54
1875-07-04,70.0/48.0,38
1875-07-05,73.0/55.0,22
1875-07-06,86.0/46.0,14
1875-07-07,89.0/57.0,25
1875-07-08,84.0/58.0,38
1875-07-09,86.0/57.0,27
1875-07-10,86.0/60.0,36
1875-07-11,88.0/58.0,34
1875-07-12,83.0/58.0,55
1875-07-13,92.0/59.0,25
1875-07-14,95.0/57.0,8
1875-07-15,84.0/55.0,41
1875-07-16,83.0/59.0,39
1875-07-18,85.0/54.0,29
1875-07-19,81.0/61.0,29
1875-07-20,92.0/51.0,7
1875-07-22,82.0/54.0,40
1875-07-24,69.0/56.0,14
1875-07-25,73.0/48.0,23
1875-07-26,81.0/46.0,16
1875-07-27,85.0/49.0,16
1875-07-28,94.0/58.0,15
1875-07-29,75.0/55.0,35
1875-07-30,72.0/54.0,52
1875-07-31,81.0/52.0,26
1875-08-01,73.0/61.0,10
1875-08-02,82.0/51.0,37
1875-08-03,89.0/60.0,22
1875-08-04,89.0/55.0,37
1875-08-05,79.0/59.0,31
1875-08-07,91.0/58.0,18
1875-08-08,86.0/63.0,34
1875-08-09,94.0/59.0,25
1875-08-10,81.0/53.0,43
1875-08-11,80.0/60.0,46
1875-08-12,82.0/47.0,32
1875-08-14,74.0/51.0,36
1875-08-15,71.0/47.0,25
1875-08-16,73.0/54.0,37
1875-08-18,76.0/48.0,45
1875-08-19,84.0/44.0,14
1875-08-20,74.0/49.0,30
1875-08-21,77.0/39.0,12
1875-08-22,85.0/53.0,47
1875-08-23,86.0/62.0,27
1875-08-24,83.0/62.0,35
1875-08-25,93.0/60.0,21
1875-08-26,74.0/54.0,41
1875-08-27,65.0/56.0,10
1875-08-28,66.0/49.0,33
1875-08-30,72.0/50.0,45
1875-09-02,64.0/56.0,11
1875-09-03,77.0/54.0,47
1875-09-04,73.0/52.0,38
1875-09-05,83.0/45.0,18
1875-09-06,85.0/55.0,36
1875-09-10,69.0/39.0,28
1875-09-12,74.0/40.0,30
1875-09-15,63.0/51.0,10
1875-09-16,51.0/43.0,11
1875-09-17,67.0/40.0,34
1875-09-18,57.0/40.0,17
1875-09-19,48.0/30.0,41
1875-09-20,57.0/34.0,22
1875-09-21,65.0/29.0,16
1875-09-22,79.0/37.0,12
1875-09-23,85.0/45.0,8
1875-09-24,65.0/40.0,19
