MonthDay,RecordHigh,YearHigh,RecordLow,YearLow
01-01,54.0,1998,-31.0,2018
01-02,52.0,1963,-18.0,1968
01-03,53.0,2012,-28.0,1950
01-04,56.0,2008,-28.0,1968
01-05,62.0,2012,-25.0,2005
01-06,50.0,1954,-24.0,1976
01-07,54.0,2002,-27.0,1994
01-08,60.0,2002,-28.0,1977
01-09,54.0,2012,-25.0,1982
01-10,57.0,1995,-29.0,1982
01-11,57.0,1987,-30.0,1974
01-12,58.0,1987,-24.0,2024
01-13,55.0,2021,-33.0,2024
01-14,50.0,2006,-31.0,1972
01-15,47.0,1961,-29.0,1950
01-16,52.0,1974,-27.0,1978
01-17,51.0,1974,-34.0,1970
01-18,49.0,1981,-34.0,1970
01-19,52.0,2005,-28.0,1996
01-20,52.0,1964,-33.0,1954
01-21,52.0,1981,-32.0,1949
01-22,60.0,1981,-24.0,2003
01-23,63.0,1981,-25.0,1957
01-24,58.0,2005,-30.0,1949
01-25,59.0,2007,-34.0,1950
01-26,52.0,2015,-35.0,1950
01-27,62.0,2015,-25.0,1951
01-28,56.0,2024,-28.0,1966
01-29,51.0,2024,-35.0,1966
01-30,60.0,2024,-30.0,1996
01-31,62.0,2024,-24.0,2011
02-01,68.0,1992,-29.0,1996
02-02,58.0,2021,-29.0,1996
02-03,64.0,1962,-30.0,1996
02-04,57.0,2005,-22.0,1989
02-05,61.0,1963,-21.0,1988
02-06,63.0,1963,-22.0,1971
02-07,59.0,1963,-25.0,2019
02-08,60.0,2000,-31.0,1994
02-09,59.0,1996,-30.0,1994
02-10,58.0,1984,-27.0,1955
02-11,56.0,2005,-28.0,1988
02-12,55.0,2005,-26.0,2021
02-13,55.0,1984,-27.0,2021
02-14,57.0,1981,-30.0,2021
02-15,53.0,1981,-24.0,2019
02-16,59.0,1981,-27.0,2025
02-17,57.0,2002,-34.0,2025
02-18,61.0,1983,-36.0,2025
02-19,62.0,1995,-34.0,2025
02-20,57.0,1984,-27.0,1986
02-21,65.0,1995,-20.0,2011
02-22,66.0,2002,-21.0,2022
02-23,65.0,1958,-23.0,2022
02-24,62.0,1995,-26.0,1993
02-25,66.0,1958,-22.0,2011
02-26,59.0,2024,-24.0,2011
02-27,66.0,2016,-29.0,1962
02-28,60.0,2000,-35.0,1962
02-29,68.0,1992,-9.0,1980
03-01,70.0,1992,-28.0,1962
03-02,65.0,2025,-19.0,2019
03-03,62.0,2021,-19.0,2019
03-04,68.0,2000,-19.0,1960
03-05,71.0,2000,-19.0,1955
03-06,72.0,1987,-19.0,1996
03-07,69.0,2020,-22.0,1996
03-08,61.0,2021,-22.0,2003
03-09,68.0,2012,-20.0,2002
03-10,71.0,2012,-24.0,1998
03-11,72.0,2012,-26.0,1998
03-12,72.0,2016,-13.0,1951
03-13,75.0,2012,-11.0,1960
03-14,68.0,2015,-11.0,1954
03-15,72.0,2015,-14.0,1949
03-16,78.0,2012,-4.0,1993
03-17,71.0,2012,-6.0,1993
03-18,79.0,2012,-10.0,1965
03-19,71.0,1999,-10.0,1965
03-20,78.0,2007,-11.0,2002
03-21,70.0,2012,-13.0,2002
03-22,73.0,2012,-12.0,1965
03-23,74.0,1963,-15.0,1965
03-24,78.0,1993,-11.0,1965
03-25,77.0,2007,-13.0,1975
03-26,75.0,1999,-9.0,2024
03-27,72.0,1962,-6.0,2024
03-28,80.0,2015,-5.0,1954
03-29,74.0,1967,-13.0,1954
03-30,76.0,1986,-5.0,1954
03-31,79.0,2015,-8.0,1975
04-01,78.0,2012,-10.0,1975
04-02,73.0,1991,-8.0,1975
04-03,77.0,2021,-4.0,1954
04-04,76.0,2021,1.0,1972
04-05,81.0,1991,5.0,1979
04-06,80.0,1969,0.0,2018
04-07,82.0,1988,5.0,2018
04-08,80.0,2005,-8.0,1997
04-09,85.0,1977,-0.0,1997
04-10,80.0,1971,9.0,1997
04-11,83.0,2023,5.0,1957
04-12,80.0,2003,7.0,1957
04-13,84.0,2003,5.0,2020
04-14,80.0,2008,6.0,2020
04-15,80.0,1981,5.0,1986
04-16,83.0,1981,4.0,2022
04-17,84.0,1994,10.0,2022
04-18,89.0,1987,9.0,2022
04-19,84.0,1980,9.0,2002
04-20,92.0,1980,11.0,2011
04-21,94.0,1980,17.0,2021
04-22,90.0,1989,15.0,1951
04-23,87.0,2012,17.0,2013
04-24,90.0,2012,19.0,1959
04-25,82.0,1952,17.0,2002
04-26,87.0,1952,19.0,1956
04-27,86.0,2001,14.0,1956
04-28,91.0,2001,13.0,1958
04-29,89.0,1949,19.0,1960
04-30,87.0,1987,16.0,1954
05-01,90.0,1955,19.0,2013
05-02,87.0,1955,6.0,1967
05-03,92.0,1985,4.0,1967
05-04,87.0,1986,9.0,1967
05-05,86.0,2016,18.0,1967
05-06,89.0,1992,23.0,1989
05-07,93.0,1992,24.0,2019
05-08,88.0,1985,23.0,2010
05-09,86.0,1977,23.0,1981
05-10,92.0,2025,22.0,2020
05-11,95.0,2025,20.0,2020
05-12,95.0,2025,22.0,1953
05-13,93.0,2001,22.0,2004
05-14,87.0,2001,22.0,2004
05-15,91.0,1987,25.0,2014
05-16,91.0,1979,21.0,2009
05-17,89.0,1972,24.0,2002
05-18,89.0,2006,27.0,2015
05-19,90.0,1992,24.0,1971
05-20,96.0,1964,24.0,2003
05-21,96.0,1980,28.0,2017
05-22,99.0,1980,25.0,1963
05-23,89.0,1980,27.0,1959
05-24,92.0,1985,28.0,2002
05-25,87.0,2018,29.0,2012
05-26,93.0,1969,27.0,1992
05-27,96.0,1969,30.0,1952
05-28,88.0,1999,26.0,1952
05-29,93.0,1988,34.0,1983
05-30,93.0,1984,31.0,2015
05-31,89.0,1997,32.0,2012
06-01,89.0,2025,32.0,1951
06-02,90.0,1986,31.0,1998
06-03,96.0,1968,32.0,1998
06-04,97.0,2021,33.0,1998
06-05,95.0,1988,31.0,1992
06-06,100.0,1952,30.0,1992
06-07,101.0,1988,37.0,2014
06-08,99.0,1988,33.0,1989
06-09,95.0,1961,34.0,2009
06-10,98.0,1988,34.0,2009
06-11,96.0,1949,34.0,1969
06-12,97.0,1952,35.0,1985
06-13,104.0,1979,39.0,1969
06-14,97.0,1959,34.0,1969
06-15,98.0,1959,39.0,2010
06-16,96.0,1987,35.0,1999
06-17,98.0,1988,38.0,2004
06-18,96.0,1988,30.0,2004
06-19,94.0,1988,33.0,1969
06-20,103.0,1988,30.0,1969
06-21,101.0,1988,40.0,2004
06-22,96.0,1988,40.0,2004
06-23,102.0,1988,41.0,2016
06-24,102.0,1988,33.0,2004
06-25,97.0,1986,35.0,1958
06-26,98.0,2012,40.0,1968
06-27,100.0,1988,39.0,2004
06-28,99.0,2002,41.0,2007
06-29,102.0,2002,43.0,2003
06-30,94.0,2000,37.0,1995
07-01,97.0,2003,40.0,1951
07-02,101.0,1949,37.0,1967
07-03,103.0,2021,35.0,1967
07-04,102.0,1989,37.0,1972
