1948-01-01,62.0/34.0,25
1948-01-02,70.0/45.0,31
1948-01-03,72.0/41.0,20
1948-01-04,71.0/49.0,22
1948-01-05,68.0/40.0,26
1948-01-06,73.0/44.0,26
1948-01-07,69.0/48.0,28
1948-01-08,64.0/48.0,21
1948-01-09,66.0/45.0,25
1948-01-10,57.0/42.0,26
1948-01-11,59.0/37.0,31
1948-01-12,65.0/34.0,19
1948-01-13,70.0/33.0,6
1948-01-14,68.0/30.0,4
1948-01-15,66.0/35.0,15
1948-01-16,65.0/32.0,13
1948-01-17,67.0/31.0,5
1948-01-18,67.0/33.0,6
1948-01-19,71.0/32.0,2
1948-01-20,65.0/31.0,10
1948-01-21,66.0/32.0,5
1948-01-22,68.0/33.0,6
1948-01-23,72.0/36.0,12
1948-01-24,73.0/35.0,4
1948-01-25,68.0/38.0,20
1948-01-26,60.0/33.0,31
1948-01-27,60.0/29.0,6
1948-01-28,63.0/30.0,3
1948-01-29,60.0/30.0,12
1948-01-30,62.0/29.0,7
1948-01-31,67.0/32.0,8
1948-02-01,58.0/33.0,26
1948-02-02,59.0/32.0,17
1948-02-03,61.0/33.0,19
1948-02-05,52.0/38.0,13
1948-02-06,55.0/39.0,24
1948-02-07,55.0/33.0,25
1948-02-08,59.0/31.0,20
1948-02-09,60.0/35.0,35
1948-02-10,58.0/34.0,18
1948-02-11,57.0/28.0,8
1948-02-12,59.0/28.0,4
1948-02-14,58.0/32.0,26
1948-02-15,69.0/34.0,9
1948-02-16,70.0/37.0,9
1948-02-17,68.0/45.0,34
1948-02-18,68.0/47.0,32
1948-02-19,54.0/45.0,14
1948-02-20,68.0/37.0,19
1948-02-22,64.0/45.0,25
1948-02-23,63.0/37.0,19
1948-02-25,74.0/35.0,2
1948-02-27,70.0/40.0,27
1948-02-28,58.0/38.0,27
1948-02-29,64.0/36.0,19
1948-03-01,66.0/41.0,26
1948-03-02,64.0/41.0,36
1948-03-03,62.0/36.0,28
1948-03-06,66.0/39.0,32
1948-03-07,70.0/36.0,10
1948-03-08,64.0/38.0,29
1948-03-09,60.0/43.0,36
1948-03-10,62.0/38.0,29
1948-03-11,72.0/37.0,9
1948-03-12,76.0/47.0,28
1948-03-13,57.0/48.0,17
1948-03-15,60.0/40.0,39
1948-03-16,50.0/42.0,12
1948-03-17,60.0/42.0,44
1948-03-18,63.0/43.0,30
1948-03-19,59.0/42.0,42
1948-03-20,59.0/35.0,24
1948-03-22,74.0/42.0,18
1948-03-23,73.0/41.0,16
1948-03-24,56.0/41.0,24
1948-03-25,61.0/38.0,31
1948-03-26,67.0/35.0,19
1948-03-27,77.0/39.0,5
1948-03-28,75.0/49.0,28
1948-03-29,70.0/51.0,20
1948-03-30,72.0/49.0,29
1948-03-31,73.0/43.0,23
1948-04-01,79.0/46.0,19
1948-04-02,60.0/50.0,23
1948-04-03,63.0/47.0,30
1948-04-04,63.0/40.0,23
1948-04-05,65.0/46.0,35
1948-04-06,65.0/45.0,35
1948-04-07,67.0/42.0,27
1948-04-09,62.0/50.0,15
1948-04-10,64.0/51.0,21
1948-04-11,62.0/45.0,33
1948-04-12,69.0/41.0,27
1948-04-13,69.0/43.0,40
1948-04-14,83.0/55.0,46
1948-04-15,85.0/60.0,27
1948-04-16,81.0/54.0,29
1948-04-17,74.0/54.0,17
1948-04-18,76.0/45.0,27
1948-04-19,84.0/47.0,14
1948-04-20,80.0/50.0,48
1948-04-21,72.0/48.0,26
1948-04-22,69.0/53.0,23
1948-04-24,77.0/47.0,20
1948-04-25,79.0/49.0,33
1948-04-26,77.0/48.0,33
1948-04-27,84.0/48.0,17
1948-04-28,74.0/43.0,19
1948-04-29,62.0/41.0,26
