1948-09-06,105.0/61.0,1
1948-09-07,104.0/60.0,1
1948-09-08,103.0/64.0,5
1948-09-09,106.0/62.0,2
1948-09-10,106.0/61.0,1
1948-09-11,107.0/62.0,1
1948-09-12,108.0/66.0,2
1948-09-13,109.0/62.0,1
1948-09-15,103.0/68.0,18
1948-09-16,90.0/72.0,3
1948-09-17,92.0/70.0,21
1948-09-18,92.0/64.0,28
1948-09-19,90.0/56.0,18
1948-09-20,94.0/57.0,6
1948-09-21,96.0/54.0,1
1948-09-22,92.0/61.0,19
1948-09-23,93.0/56.0,7
1948-09-24,84.0/63.0,16
1948-09-25,72.0/50.0,22
1948-09-26,81.0/45.0,6
1948-09-27,90.0/43.0,1
1948-09-28,94.0/52.0,2
1948-09-29,95.0/52.0,2
1948-09-30,94.0/63.0,31
1948-10-01,95.0/58.0,5
1948-10-02,97.0/56.0,4
1948-10-03,96.0/59.0,4
1948-10-04,90.0/66.0,28
1948-10-06,83.0/61.0,19
1948-10-07,88.0/49.0,3
1948-10-08,93.0/52.0,1
1948-10-09,94.0/50.0,1
1948-10-10,92.0/48.0,1
1948-10-12,87.0/51.0,10
1948-10-13,89.0/60.0,30
1948-10-14,82.0/56.0,30
1948-10-15,83.0/52.0,13
1948-10-16,86.0/49.0,6
1948-10-17,83.0/58.0,25
1948-10-18,75.0/48.0,25
1948-10-19,78.0/41.0,5
1948-10-20,85.0/46.0,3
1948-10-21,89.0/43.0,1
1948-10-22,88.0/44.0,1
1948-10-23,86.0/47.0,2
1948-10-24,86.0/45.0,5
1948-10-26,82.0/47.0,11
1948-10-27,80.0/42.0,4
1948-10-28,69.0/44.0,30
1948-10-29,70.0/38.0,24
1948-10-30,60.0/47.0,20
1948-10-31,75.0/39.0,10
1948-11-01,75.0/40.0,10
1948-11-02,77.0/48.0,22
1948-11-03,78.0/49.0,23
1948-11-04,64.0/46.0,19
1948-11-05,66.0/32.0,5
1948-11-06,71.0/30.0,1
1948-11-08,58.0/39.0,28
1948-11-09,64.0/27.0,3
1948-11-11,65.0/40.0,30
1948-11-12,67.0/33.0,6
1948-11-13,74.0/32.0,1
1948-11-14,75.0/33.0,1
1948-11-15,71.0/33.0,2
1948-11-16,68.0/32.0,5
1948-11-17,68.0/34.0,12
1948-11-18,57.0/37.0,24
1948-11-19,61.0/28.0,4
1948-11-20,62.0/25.0,1
1948-11-21,61.0/39.0,33
1948-11-22,63.0/36.0,24
1948-11-24,64.0/31.0,7
1948-11-25,66.0/36.0,21
1948-11-26,61.0/26.0,4
1948-11-27,54.0/31.0,13
1948-11-28,57.0/22.0,1
1948-11-29,65.0/21.0,1
1948-11-30,63.0/22.0,1
1948-12-01,59.0/32.0,23
1948-12-02,59.0/24.0,1
1948-12-03,66.0/23.0,1
1948-12-04,50.0/24.0,3
1948-12-05,51.0/18.0,1
1948-12-06,59.0/25.0,4
1948-12-07,54.0/21.0,2
1948-12-08,61.0/24.0,2
1948-12-09,63.0/25.0,1
1948-12-10,65.0/29.0,1
1948-12-11,63.0/29.0,2
1948-12-12,56.0/30.0,21
1948-12-13,70.0/40.0,29
1948-12-19,54.0/25.0,4
1948-12-20,54.0/24.0,2
1948-12-21,48.0/26.0,6
1948-12-22,46.0/34.0,5
1948-12-23,44.0/25.0,4
1948-12-24,44.0/18.0,1
1948-12-25,44.0/17.0,2
1948-12-26,56.0/34.0,27
1948-12-27,50.0/33.0,15
1948-12-28,53.0/31.0,14
1948-12-29,50.0/26.0,12
1948-12-30,51.0/32.0,16
1948-12-31,49.0/30.0,17
1949-01-01,48.0/25.0,6
1949-01-02,40.0/26.0,2
1949-01-03,33.0/22.0,1
1949-01-04,35.0/19.0,1
1949-01-05,42.0/16.0,1
1949-01-06,50.0/20.0,1
1949-01-07,50.0/22.0,6
1949-01-08,49.0/21.0,6
1949-01-09,44.0/26.0,3
1949-01-10,35.0/20.0,2
1949-01-11,36.0/24.0,1
1949-01-12,39.0/30.0,1
1949-01-13,42.0/30.0,3
1949-01-14,42.0/24.0,3
1949-01-15,40.0/20.0,3
1949-01-16,38.0/29.0,1
1949-01-17,36.0/20.0,1
1949-01-19,35.0/25.0,1
1949-01-20,40.0/32.0,2
1949-01-21,46.0/32.0,5
1949-01-22,52.0/36.0,9
1949-01-23,43.0/28.0,5
1949-01-24,41.0/26.0,3
1949-01-25,35.0/26.0,1
1949-01-26,39.0/20.0,2
1949-01-27,39.0/17.0,1
1949-01-28,42.0/20.0,4
1949-01-29,41.0/21.0,3
1949-01-30,39.0/18.0,1
1949-01-31,41.0/19.0,1
1949-02-02,42.0/26.0,1
1949-02-03,47.0/25.0,5
1949-02-04,43.0/23.0,4
1949-02-05,46.0/28.0,4
1949-02-06,43.0/22.0,1
1949-02-07,54.0/36.0,16
1949-02-08,45.0/25.0,2
1949-02-10,49.0/23.0,8
1949-02-11,63.0/30.0,5
1949-02-12,46.0/26.0,3
1949-02-14,46.0/18.0,3
1949-02-16,57.0/24.0,4
1949-02-17,63.0/27.0,1
1949-02-18,64.0/30.0,7
1949-02-22,69.0/34.0,4
1949-02-23,72.0/34.0,3
1949-02-24,71.0/42.0,27
1949-02-25,64.0/38.0,33
1949-02-26,63.0/35.0,21
1949-02-27,52.0/40.0,19
1949-02-28,54.0/35.0,26
1949-03-01,58.0/34.0,29
1949-03-02,61.0/37.0,33
1949-03-03,68.0/37.0,17
1949-03-04,69.0/42.0,28
1949-03-05,64.0/42.0,41
1949-03-06,64.0/35.0,20
1949-03-07,63.0/42.0,36
1949-03-08,63.0/40.0,28
1949-03-10,70.0/42.0,16
1949-03-11,65.0/47.0,29
1949-03-12,67.0/35.0,11
1949-03-13,69.0/37.0,16
1949-03-14,71.0/38.0,15
1949-03-15,74.0/46.0,25
