MonthDay,RecordHigh,YearHigh,RecordLow,YearLow
01-01,50.0,1998,-27.0,1993
01-02,46.0,1997,-23.0,1968
01-03,47.0,2012,-28.0,1950
01-04,49.0,2008,-32.0,1950
01-05,61.0,2012,-25.0,2005
01-06,45.0,2021,-24.0,1966
01-07,47.0,1963,-27.0,1966
01-08,49.0,2002,-26.0,1989
01-09,50.0,2012,-28.0,1989
01-10,46.0,2012,-29.0,1982
01-11,49.0,1987,-25.0,1974
01-12,56.0,1987,-24.0,2017
01-13,51.0,2021,-26.0,2024
01-14,52.0,2006,-28.0,2009
01-15,45.0,1999,-32.0,2009
01-16,48.0,1961,-33.0,1954
01-17,45.0,1972,-30.0,1962
01-18,44.0,2018,-34.0,1950
01-19,44.0,1986,-34.0,1996
01-20,43.0,1992,-34.0,1954
01-21,45.0,1968,-31.0,1954
01-22,41.0,2015,-28.0,1966
01-23,48.0,1981,-34.0,1966
01-24,46.0,1973,-33.0,1966
01-25,51.0,2012,-32.0,1950
01-26,49.0,2012,-33.0,1950
01-27,49.0,2015,-28.0,1966
01-28,45.0,1992,-33.0,1966
01-29,48.0,2016,-34.0,1951
01-30,50.0,2024,-29.0,2019
01-31,57.0,2024,-25.0,1996
02-01,60.0,1992,-34.0,1996
02-02,46.0,1992,-30.0,1989
02-03,48.0,1973,-29.0,1989
02-04,47.0,1992,-22.0,1979
02-05,58.0,1963,-22.0,1982
02-06,51.0,2016,-22.0,1994
02-07,59.0,1963,-24.0,1994
02-08,53.0,2000,-28.0,2019
02-09,47.0,1996,-27.0,1994
02-10,49.0,1961,-25.0,1955
02-11,48.0,1987,-21.0,1988
02-12,47.0,2005,-24.0,2021
02-13,47.0,2011,-29.0,2021
02-14,44.0,1998,-27.0,2021
02-15,47.0,2011,-26.0,1958
02-16,50.0,2017,-26.0,1979
02-17,50.0,2002,-30.0,2025
02-18,47.0,1954,-33.0,2025
02-19,51.0,2016,-23.0,2025
02-20,50.0,2017,-26.0,2008
02-21,54.0,1961,-21.0,1963
02-22,57.0,2002,-23.0,2015
02-23,57.0,1958,-17.0,2003
02-24,51.0,1958,-23.0,1955
02-25,66.0,1958,-17.0,2019
02-26,57.0,2016,-24.0,1962
02-27,65.0,1988,-30.0,1962
02-28,58.0,2000,-31.0,1962
02-29,63.0,1992,-25.0,1980
03-01,66.0,1992,-29.0,1962
03-02,53.0,2025,-23.0,2003
03-03,56.0,2000,-13.0,2019
03-04,65.0,2000,-15.0,2003
03-05,66.0,2000,-22.0,1955
03-06,73.0,2016,-20.0,1951
03-07,60.0,2016,-16.0,1951
03-08,64.0,2021,-19.0,1951
03-09,59.0,2016,-21.0,1951
03-10,67.0,2016,-15.0,2002
03-11,66.0,2016,-17.0,1998
03-12,70.0,2007,-15.0,1951
03-13,70.0,2016,-11.0,1951
03-14,74.0,2016,-9.0,1997
03-15,64.0,2012,-10.0,1997
03-16,73.0,2012,-12.0,2013
03-17,69.0,2012,-6.0,1993
03-18,77.0,2012,-9.0,1965
03-19,66.0,2012,-6.0,1965
03-20,67.0,2021,-10.0,2013
03-21,68.0,1986,-8.0,2013
03-22,74.0,2012,-9.0,1965
03-23,71.0,1963,-14.0,1974
03-24,71.0,1993,-10.0,1965
03-25,78.0,2007,-17.0,1964
03-26,67.0,1973,-15.0,1964
03-27,70.0,1986,-6.0,1964
03-28,71.0,1986,-6.0,1964
03-29,70.0,1966,-15.0,1964
03-30,79.0,1966,-7.0,2018
03-31,70.0,2015,-1.0,1975
04-01,72.0,2012,-2.0,1975
04-02,74.0,1988,-5.0,1975
04-03,77.0,1988,-2.0,1954
04-04,72.0,1991,-2.0,2002
04-05,74.0,1991,-3.0,1979
04-06,72.0,1988,-1.0,2018
04-07,81.0,1988,3.0,2018
04-08,79.0,2005,4.0,1997
04-09,88.0,1977,-1.0,1997
04-10,81.0,1971,3.0,1997
04-11,81.0,1949,4.0,1957
04-12,77.0,2003,11.0,1957
04-13,82.0,2003,14.0,2020
04-14,82.0,1958,9.0,2020
04-15,80.0,1971,13.0,2022
04-16,83.0,2006,8.0,2022
04-17,83.0,1994,8.0,1953
04-18,84.0,1987,8.0,2022
04-19,85.0,1952,14.0,2022
04-20,90.0,1980,13.0,2013
04-21,94.0,1980,18.0,1966
04-22,82.0,1989,17.0,1967
04-23,85.0,2012,13.0,1967
04-24,88.0,2012,18.0,1967
04-25,81.0,1977,16.0,1950
04-26,89.0,1952,13.0,1950
04-27,87.0,1952,13.0,1950
04-28,92.0,2001,13.0,1958
04-29,87.0,1949,16.0,1966
04-30,84.0,1988,17.0,1966
05-01,83.0,1955,20.0,1958
05-02,89.0,1955,17.0,2002
05-03,90.0,1952,19.0,1967
05-04,88.0,2016,23.0,1967
05-05,95.0,2016,25.0,1968
05-06,88.0,1992,23.0,1989
05-07,84.0,1992,23.0,2002
05-08,87.0,2025,25.0,2010
05-09,86.0,2007,22.0,1981
05-10,94.0,2025,25.0,2021
05-11,99.0,2025,21.0,2005
05-12,95.0,2025,26.0,2004
05-13,90.0,2001,21.0,2004
05-14,90.0,2001,24.0,2004
05-15,93.0,1987,27.0,1983
05-16,88.0,1979,23.0,2002
05-17,95.0,1994,23.0,2002
05-18,89.0,2006,27.0,2002
05-19,95.0,1992,27.0,2002
05-20,92.0,1964,28.0,1963
05-21,96.0,1980,26.0,1963
05-22,99.0,1980,28.0,1963
05-23,91.0,2006,29.0,1949
05-24,91.0,1977,33.0,1968
05-25,92.0,2018,31.0,1992
05-26,94.0,2018,32.0,1984
05-27,96.0,1969,28.0,2008
05-28,91.0,1988,29.0,1965
05-29,97.0,1988,33.0,1998
05-30,91.0,1984,32.0,2015
05-31,94.0,1986,34.0,1956
06-01,93.0,1997,33.0,1964
06-02,94.0,2017,33.0,1969
06-03,99.0,2021,34.0,1950
06-04,105.0,2021,37.0,1985
06-05,99.0,2021,36.0,2009
06-06,99.0,1988,37.0,1960
06-07,101.0,1988,36.0,1978
06-08,94.0,1961,37.0,1989
06-09,96.0,2017,37.0,1950
06-10,100.0,1988,37.0,1958
06-11,95.0,1961,40.0,1958
06-12,94.0,1987,32.0,1969
06-13,101.0,1979,34.0,1969
06-14,97.0,1959,38.0,1968
06-15,98.0,1959,42.0,1972
06-16,99.0,1987,39.0,1960
06-17,98.0,1988,40.0,2004
06-18,98.0,2022,36.0,2004
06-19,97.0,2022,41.0,1952
06-20,102.0,1988,34.0,1969
06-21,94.0,1988,44.0,2020
