1948-01-01,27.0/17.0,5
1948-01-02,39.0/17.0,6
1948-01-03,51.0/22.0,4
1948-01-04,48.0/33.0,19
1948-01-05,50.0/30.0,22
1948-01-06,51.0/30.0,18
1948-01-07,58.0/32.0,23
1948-01-08,65.0/39.0,19
1948-01-09,59.0/37.0,15
1948-01-10,56.0/35.0,20
1948-01-11,48.0/39.0,5
1948-01-12,51.0/29.0,13
1948-01-13,41.0/21.0,8
1948-01-14,39.0/20.0,11
1948-01-15,55.0/31.0,16
1948-01-16,31.0/17.0,3
1948-01-17,31.0/12.0,3
1948-01-18,35.0/21.0,6
1948-01-19,40.0/19.0,6
1948-01-21,57.0/31.0,18
1948-01-22,55.0/19.0,4
1948-01-23,27.0/6.0,3
1948-01-24,20.0/16.0,3
1948-01-25,31.0/18.0,6
1948-01-26,27.0/18.0,5
1948-01-27,18.0/8.0,3
1948-01-28,21.0/5.0,2
1948-01-29,23.0/18.0,4
1948-01-30,29.0/14.0,2
1948-01-31,37.0/17.0,2
1948-02-01,45.0/25.0,9
1948-02-02,39.0/34.0,10
1948-02-03,41.0/36.0,11
1948-02-04,45.0/29.0,20
1948-02-05,31.0/26.0,5
1948-02-06,35.0/25.0,8
1948-02-07,38.0/25.0,9
1948-02-08,25.0/14.0,4
1948-02-09,41.0/16.0,4
1948-02-10,42.0/29.0,15
1948-02-11,35.0/13.0,4
1948-02-12,18.0/12.0,2
1948-02-13,27.0/15.0,2
1948-02-14,51.0/24.0,13
1948-02-15,55.0/32.0,17
1948-02-16,64.0/35.0,14
1948-02-17,71.0/39.0,16
1948-02-18,70.0/47.0,21
1948-02-19,61.0/30.0,10
1948-02-20,33.0/25.0,7
1948-02-21,34.0/25.0,12
1948-02-22,39.0/24.0,8
1948-02-23,41.0/32.0,15
1948-02-24,49.0/40.0,6
1948-02-25,46.0/37.0,7
1948-02-26,63.0/43.0,17
1948-02-27,65.0/46.0,16
1948-02-28,61.0/41.0,16
1948-02-29,61.0/38.0,19
1948-03-01,52.0/40.0,9
1948-03-02,40.0/32.0,12
1948-03-03,39.0/30.0,5
1948-03-04,35.0/29.0,3
1948-03-05,32.0/27.0,5
1948-03-06,41.0/24.0,12
1948-03-07,46.0/22.0,6
1948-03-08,37.0/26.0,8
1948-03-09,41.0/28.0,8
1948-03-10,28.0/4.0,1
1948-03-11,14.0/1.0,1
