MonthDay,RecordHigh,YearHigh,RecordLow,YearLow
01-01,41.0,2024,-28.0,2022
01-02,40.0,2021,-10.0,2022
01-03,40.0,2021,-15.0,2025
01-04,43.0,2020,-14.0,2025
01-05,37.0,2021,-25.0,2022
01-06,36.0,2021,-30.0,2022
01-07,32.0,2021,-16.0,2022
01-08,35.0,2025,-13.0,2022
01-09,33.0,2023,-16.0,2022
01-10,38.0,2021,-13.0,2020
01-11,42.0,2021,-3.0,2025
01-12,42.0,2021,-10.0,2025
01-13,51.0,2021,-29.0,2024
01-14,38.0,2023,-28.0,2024
01-15,36.0,2025,-22.0,2024
01-16,40.0,2021,-20.0,2020
01-17,35.0,2022,-9.0,2020
01-18,36.0,2022,-19.0,2025
01-19,31.0,2021,-23.0,2025
01-20,38.0,2021,-27.0,2025
01-21,38.0,2020,-11.0,2025
01-22,33.0,2022,5.0,2022
01-23,38.0,2022,0.0,2021
01-24,34.0,2024,-9.0,2022
01-25,39.0,2020,-16.0,2022
01-26,37.0,2023,-17.0,2021
01-27,38.0,2024,-9.0,2021
01-28,45.0,2024,-15.0,2023
01-29,49.0,2024,-18.0,2023
01-30,54.0,2024,-21.0,2023
01-31,55.0,2024,-14.0,2023
02-01,51.0,2024,-10.0,2022
02-02,51.0,2021,-15.0,2022
02-03,42.0,2024,-14.0,2025
02-04,41.0,2024,-18.0,2022
02-05,37.0,2024,-10.0,2021
02-06,36.0,2024,-20.0,2021
02-07,42.0,2022,-19.0,2021
02-08,37.0,2023,-22.0,2021
02-09,35.0,2022,-19.0,2021
02-10,43.0,2022,-21.0,2025
02-11,38.0,2024,-25.0,2025
02-12,38.0,2024,-27.0,2021
02-13,41.0,2023,-28.0,2021
02-14,37.0,2020,-26.0,2021
02-15,27.0,2023,-15.0,2021
02-16,31.0,2020,-25.0,2025
02-17,41.0,2024,-30.0,2025
02-18,39.0,2024,-28.0,2025
02-19,49.0,2022,-28.0,2025
02-20,45.0,2024,-16.0,2025
02-21,50.0,2024,-13.0,2023
02-22,49.0,2024,-19.0,2023
02-23,47.0,2024,-20.0,2022
02-24,50.0,2024,-21.0,2023
02-25,41.0,2025,-12.0,2022
02-26,53.0,2024,5.0,2020
02-27,59.0,2025,-3.0,2024
02-28,43.0,2020,0.0,2024
02-29,57.0,2024,19.0,2024
03-01,55.0,2021,9.0,2023
03-02,53.0,2025,8.0,2023
03-03,56.0,2021,4.0,2024
03-04,60.0,2021,-4.0,2024
03-05,59.0,2021,-4.0,2024
03-06,60.0,2021,-3.0,2024
03-07,59.0,2020,-8.0,2024
03-08,57.0,2021,3.0,2024
03-09,60.0,2025,-4.0,2022
03-10,53.0,2024,-6.0,2022
03-11,54.0,2020,-10.0,2022
03-12,57.0,2021,-1.0,2023
03-13,60.0,2021,-3.0,2023
03-14,53.0,2022,13.0,2023
03-15,58.0,2022,8.0,2025
03-16,53.0,2022,11.0,2020
03-17,53.0,2022,-8.0,2023
03-18,64.0,2024,-9.0,2023
03-19,70.0,2021,7.0,2020
03-20,60.0,2022,4.0,2020
03-21,51.0,2022,9.0,2023
